time_s,AIN1_RAW,AIN2_RAW,AIN3_RAW,AIN4_RAW,AIN1_voltage_est,AIN2_voltage_est,AIN3_voltage_est,AIN4_voltage_est,AIN1_filtered_v,AIN2_filtered_v,AIN3_filtered_v,AIN4_filtered_v
1.08,2265,1272,2771,788,2.73791208791209,1.53758241758242,3.34956043956044,0.952527472527473,2.75979120879121,1.52875824175824,3.35620879120879,0.968725274725275
1.09,2254,1276,2723,846,2.72461538461538,1.54241758241758,3.29153846153846,1.02263736263736,2.74975824175824,1.53975824175824,3.34387912087912,0.984681318681319
1.1,2213,1354,2781,810,2.67505494505494,1.6367032967033,3.36164835164835,0.979120879120879,2.73887912087912,1.55583516483516,3.34267032967033,0.996285714285714
1.11,2247,1359,2736,845,2.71615384615385,1.64274725274725,3.30725274725275,1.02142857142857,2.71010989010989,1.56768131868132,3.32973626373626,1.00510989010989
1.12,2240,1257,2780,851,2.70769230769231,1.51945054945055,3.36043956043956,1.02868131868132,2.68738461538462,1.58810989010989,3.32103296703297,1.00764835164835
1.13,2262,1291,2717,867,2.73428571428571,1.56054945054945,3.28428571428571,1.04802197802198,2.68013186813187,1.60491208791209,3.31232967032967,1.02336263736264
1.14,2239,1334,2758,867,2.70648351648352,1.61252747252747,3.33384615384615,1.04802197802198,2.65897802197802,1.6176043956044,3.30531868131868,1.03363736263736
1.15,2124,1316,2696,865,2.56747252747253,1.59076923076923,3.2589010989011,1.0456043956044,2.64108791208791,1.63754945054945,3.30265934065934,1.03786813186813
1.16,2142,1402,2721,844,2.58923076923077,1.69472527472527,3.28912087912088,1.02021978021978,2.63214285714286,1.64685714285714,3.29613186813187,1.03907692307692
1.17,2186,1416,2719,883,2.64241758241758,1.71164835164835,3.2867032967033,1.06736263736264,2.61521978021978,1.65278021978022,3.29117582417582,1.03702197802198
1.18,2090,1377,2713,873,2.52637362637363,1.66450549450549,3.27945054945055,1.05527472527473,2.60434065934066,1.67792307692308,3.27872527472528,1.03956043956044
1.19,2106,1441,2701,881,2.54571428571429,1.74186813186813,3.26494505494506,1.06494505494505,2.58935164835165,1.70282417582418,3.27558241758242,1.0427032967033
1.2,2139,1431,2727,820,2.5856043956044,1.72978021978022,3.29637362637363,0.991208791208791,2.5652967032967,1.72506593406593,3.26168131868132,1.04113186813187
1.21,2107,1408,2695,828,2.54692307692308,1.70197802197802,3.25769230769231,1.00087912087912,2.55913186813187,1.74996703296703,3.26301098901099,1.0427032967033
1.22,2150,1465,2677,872,2.5989010989011,1.77087912087912,3.23593406593407,1.05406593406593,2.55332967032967,1.76713186813187,3.25321978021978,1.04016483516484
1.23,2138,1497,2691,893,2.5843956043956,1.80956043956044,3.25285714285714,1.07945054945055,2.5432967032967,1.77813186813187,3.24886813186813,1.03992307692308
1.24,2040,1518,2643,854,2.46593406593407,1.83494505494505,3.19483516483516,1.03230769230769,2.53362637362637,1.79650549450549,3.23810989010989,1.04572527472527
1.25,2073,1522,2707,878,2.50582417582418,1.83978021978022,3.2721978021978,1.06131868131868,2.51779120879121,1.80194505494505,3.23158241758242,1.03895604395604
1.26,2094,1544,2640,823,2.53120879120879,1.86637362637363,3.19120879120879,0.994835164835165,2.51416483516484,1.81681318681319,3.22021978021978,1.03835164835165
1.27,2103,1507,2683,881,2.54208791208791,1.82164835164835,3.24318681318681,1.06494505494505,2.50763736263736,1.83446153846154,3.21502197802198,1.03557142857143
1.28,2010,1529,2624,921,2.42967032967033,1.84824175824176,3.17186813186813,1.1132967032967,2.48189010989011,1.84521978021978,3.20934065934066,1.02928571428571
